Var,Short,Long
V19,Country_shape,"If the energy shortage gets any worse, the country will be in bad shape."
V20,Worst_over,The worst of the energy crisis has passed.
V21,Science_resolve,Science and technology will be able to resolve the energy crisis without conservation.
V22,Sacrifice,Saving energy requires you to make major sacrifices.
V23,For_Real,The energy crisis is for real.
V24,Burn_Cheaper,Utility companies should be allowed to burn cheaper fuel even though this would cause more pollution.
V25,Petrol_All,The petroleum companies have not done all they can to solve the energy problem.
V26,Congress_All,Congress has done all it can to solve the energy problem.
V27,Rationing,Rationing of energy resources will be necessary for at least the next five years.
V28,Conserving_Save,Conserving electricity will save me money in the long run.
V29,NatGas_All,The natural gas companies have done all they can to solve the energy problem.
V30,Elec_Same,My electricity bill would be the same no matter what I did.
V31,Avg_Cit,There is not much an average citizen can do to save electricity.
V32,Carter_All,President Carter has done all he can to solve the energy problem.
V33,Energy_Insuf,"At this point in time our traditional energy resources (coal, oil, natural gas, etc.) are insufficient to continue energy consumption at the present rate."
V34,Cut_Elec,It would be easy for me to cut down on the use of electricity in my home.
V35,Forget_Poll,We should forget about reducing pollution until our energy problems are solved.
V36,Personal,My personal conservation efforts have little impact on total consumption of energy.
V37,Coal_Use,"Because of the abundance of coal, industries should be encouraged to switch to coal as a fuel despite the air pollution it causes."
V38,Elect_NOTAll,The electric companies have not done all they can to solve the energy problem.
