SITE,CU,PB,NI,MN,LCU,LCR,LCD,LPB,LFE,LNI,LMN,LME,,
Delray,7.15,12,7.4,137,0.854306,1.611192,-1.0222764,1.0791812,4.060698,0.8692317,2.136721,-0.29670862,,
Delray,5.85,6.35,7.05,106.5,0.7671559,1.584896,-0.9208188,0.8027737,3.989005,0.8481891,2.02735,-0.07314329,,
Delray,5.45,4.95,10.4,102.5,0.7363965,1.667453,-0.5686362,0.6946052,4.125481,1.0170333,2.010724,-0.31425826,,
Delray,8.5,7.05,6.4,125,0.9294189,1.692406,-0.9586073,0.8481891,4.023252,0.80618,2.09691,0.02734961,,
Seaspray,9.45,10.5,12.15,162.5,0.9754318,1.723866,-0.9393022,1.0211893,4.1959,1.0845763,2.210853,-0.03857891,,
Seaspray,6.3,18.35,11.85,129.5,0.7993405,1.68842,-0.7825161,1.2636361,4.186108,1.0737184,2.11227,-1,,
Seaspray,7.8,18.1,10.7,224.5,0.8920946,1.666986,-0.9586073,1.2576786,4.164353,1.0293838,2.351216,-1.30103,,
Seaspray,9.15,16.55,12.2,247,0.9614211,1.657056,-1.0457575,1.218798,4.181844,1.0863598,2.392697,-1.30103,,
Woodside,10.8,28.9,18.3,403.5,1.0334238,1.826075,-0.4317983,1.4608978,4.205475,1.2624511,2.605844,-1.30103,,
Woodside,21.2,11.6,18.2,377,1.3263359,1.826723,-1,1.064458,4.214844,1.2600714,2.576341,-0.06550155,,
Woodside,18.2,13.85,15.3,256,1.2600714,1.770852,-0.4436975,1.1414498,4.201397,1.1846914,2.40824,-0.18045606,,
Woodside,7.6,9.35,9.25,440,0.8808136,1.649821,-1.154902,0.9708116,4.09691,0.9661417,2.643453,-0.8096683,,
