tail,wing,Belly,BellyNum
191.00,284.00,Plain,1.00
186.00,266.00,Plain,1.00
173.00,271.00,Plain,1.00
197.00,285.00,Plain,1.00
197.00,285.00,Plain,1.00
194.00,280.00,Plain,1.00
208.00,288.00,Plain,1.00
201.00,295.00,Plain,1.00
198.00,300.00,Plain,1.00
180.00,273.00,Plain,1.00
190.00,282.00,Plain,1.00
180.00,272.00,Plain,1.00
180.00,275.00,Plain,1.00
209.00,305.00,Plain,1.00
190.00,292.00,Plain,1.00
188.00,280.00,Plain,1.00
187.00,285.00,Plain,1.00
191.00,286.00,Plain,1.00
210.00,283.00,Plain,1.00
207.00,297.00,Plain,1.00
196.00,285.00,Plain,1.00
196.00,288.00,Plain,1.00
178.00,268.00,Plain,1.00
207.00,286.00,Plain,1.00
191.00,271.00,Plain,1.00
202.00,271.00,Plain,1.00
209.00,303.00,Plain,1.00
179.00,257.00,Plain,1.00
205.00,285.00,Plain,1.00
179.00,261.00,Plain,1.00
208.00,289.00,Plain,1.00
190.00,280.00,Plain,1.00
186.00,262.00,Plain,1.00
202.00,285.00,Plain,1.00
189.00,277.00,Plain,1.00
174.00,245.00,Plain,1.00
200.00,272.00,Plain,1.00
211.00,310.00,Plain,1.00
181.00,250.00,Plain,1.00
192.00,282.00,Plain,1.00
216.00,305.00,Plain,1.00
189.00,262.00,Plain,1.00
199.00,280.00,Plain,1.00
189.00,274.00,Plain,1.00
188.00,258.00,Plain,1.00
180.00,278.00,Star,2.00
185.00,282.00,Star,2.00
184.00,277.00,Star,2.00
186.00,277.00,Star,2.00
195.00,285.00,Star,2.00
176.00,281.00,Star,2.00
206.00,308.00,Star,2.00
183.00,276.00,Star,2.00
185.00,287.00,Star,2.00
184.00,290.00,Star,2.00
202.00,308.00,Star,2.00
191.00,295.00,Star,2.00
177.00,273.00,Star,2.00
177.00,254.00,Star,2.00
177.00,267.00,Star,2.00
177.00,284.00,Star,2.00
177.00,268.00,Star,2.00
197.00,310.00,Star,2.00
176.00,267.00,Star,2.00
170.00,260.00,Star,2.00
199.00,299.00,Star,2.00
200.00,281.00,Star,2.00
186.00,274.00,Star,2.00
190.00,273.00,Star,2.00
191.00,287.00,Star,2.00
177.00,272.00,Star,2.00
180.00,278.00,Star,2.00
193.00,271.00,Star,2.00
178.00,266.00,Star,2.00
189.00,280.00,Star,2.00
212.00,302.00,Star,2.00
192.00,281.00,Star,2.00
194.00,290.00,Star,2.00
181.00,254.00,Star,2.00
204.00,276.00,Star,2.00
186.00,287.00,Star,2.00
195.00,297.00,Star,2.00
191.00,290.00,Star,2.00
191.00,286.00,Star,2.00
187.00,281.00,Star,2.00
178.00,265.00,Star,2.00
187.00,288.00,Star,2.00
190.00,284.00,Star,2.00
177.00,275.00,Star,2.00
186.00,275.00,Star,2.00
