Country,Code,Deforest,Rural,CO2,GNI,EnergyUse,LifeExp,Fertility,InfMort,Pop,PrimFem,PrimMal,Exports,Imports,CellPhone,RuralWater,log.Exports,log.Imports,log.GNI,log.Energy,new.forest,log.CO2
Afghanistan,AFG,0,74.129,0.290025232,690,,60.50912195,5.141,70.2,30551674,,,6.107274005,44.19394807,70.00491037,56.1,1.809480521,3.788587858,6.536691598,,0,-0.941543846
Albania,ALB,1.89860583,44.617,1.499316163,4520,768.0615635,77.35046341,1.76,13.3,2773620,,,34.01368477,56.74917713,116.1572081,93.8,3.526762937,4.038641156,8.416267273,6.643869891,1.377899064,0.469576139
Algeria,DZA,11.55368926,30.49,3.331511849,4970,1108.281628,70.88217073,2.82,21.6,39208194,92.51423,92.73663,38.73581864,28.73931352,102.0107812,79.5,3.656764718,3.358265995,8.511175119,7.010566012,3.399071824,1.233000936
American Samoa,ASM,4.078303426,12.666,,,,,,,55165,,,,,,100,,,,,2.019480979,
Andorra,AND,0,13.835,6.636720705,,,,,2.2,79218,,,,,80.70261809,100,,,,,0,1.907573264
Angola,AGO,4.502755182,57.51,1.555965628,4510,672.739215,51.464,5.979,101.6,21471618,40.14784,53.35519,64.97697486,43.306969,61.87329711,34.3,4.174032974,3.768313569,8.414052432,6.511357758,2.121969647,0.5043843
Antigua and Barbuda,ATG,4.854368932,75.357,5.88515814,12720,,75.66531707,2.102,7.7,89985,101.91327,102.72277,47.64046941,57.14639507,127.0856254,97.9,3.863682598,4.04561631,9.450930837,,2.203263246,1.789282761
Argentina,ARG,16.87868249,8.548,4.47096499,,1966.973639,76.01268293,2.188,11.9,41446246,108.25831,106.3835,17.78503379,16.1363294,159.0254543,95.3,2.878357305,2.781073214,,7.584251417,4.108367376,1.51972434
Armenia,ARM,26.91642651,37.025,1.424235767,3770,916.257439,74.43721951,1.739,14,2976566,,,23.75685346,47.35401166,112.4206552,100,3.167871056,3.85765154,8.23483028,6.820297372,5.188104327,0.421493148
Aruba,ABW,-5,57.942,22.84723958,,,75.2067561,1.681,,102911,97.84076,91.66667,70.77206081,86.43635475,134.873823,98.1,4.259464301,4.45940836,,,-2.236067977,3.13319765
