Country,Code,Population,Rural,GNI,IncomeTop10,Imports,Exports,Military,Cell,Fertility66,Fertility16,Measles,InffMort,LifeExp,PM2.5,Diesel,CO2,EnergyUse,FossilPct,Forest94,Forest14,Deforestation,GunTotal,GunHomicide,GunSuicide,GunUnint,GunUndet,GunsePer100,logCO2,logGNI,logEnergyUse,logImports,logExports,newForest
Honduras,HND,9112867,44.685,2160,36.8,57.87694342,42.61093766,1.63222957,85.95321319,7.435,2.462,88,16,73.575,29.49751121,0.8,1.07522179,607.8646499,52.47931253,220000,228000,-3.636363636,67.18,66.64,0.41,0.13,,6.2,0.161456888,7.677863501,6.409952242,4.058319091,3.752110973,-1.906925178
"Venezuela, RB",VEN,31568179,10.957,,,,,,87.43264222,6.203,2.317,88,14,74.545,26.33118091,,6.025697582,,,508760,468474,7.918468433,59.13,39,0.48,0.17,19.48,10.7,1.812492641,,,,,2.813977333
El Salvador,SLV,6344722,32.811,3930,30.7,44.09497191,27.86503265,1.033362534,151.8941098,6.488,2.079,90,12.9,73.512,33.38600558,0.7,1.000644623,647.3096097,48.42958734,474,374,21.09704641,45.6,26.49,0.13,0.15,,5.8,0.095896029,8.276394705,6.472824711,3.78634576,3.327372593,4.593152122
Swaziland,SWZ,1343098,78.685,2960,,52.6790612,49.51634823,1.808999318,74.08245713,6.822,3.084,89,52.4,57.754,24.15181545,0.77,0.928714992,,,10,10,0,37.16,37.16,,,,6.4,0.028310443,7.992944547,,3.964218056,3.902302882,0
Guatemala,GTM,16582469,47.97,3790,,27.4627762,19.54210214,0.423753092,110.1435498,6.724,2.973,86,23.9,73.409,28.5220862,0.65,1.150977994,830.0945159,37.37859696,145504,124584,14.37761161,34.1,29.62,0.34,1.33,2.81,13.1,0.223925641,8.240121298,6.721539569,3.312831495,2.972571222,3.791782116
Jamaica,JAM,2881355,44.97,4630,,44.93465548,31.36650537,0.95620345,113.3960932,5.821,2.009,95,13.2,75.97,15.07163593,,2.59321537,981.3122382,80.97134481,166448,165360,0.653657599,30.72,30.38,0.34,,,8.1,0.990735785,8.440312147,6.888890695,3.805209334,3.445740616,0.808490939
Colombia,COL,48653419,23.292,6350,40,21.70809603,14.75780658,3.101108796,120.6182941,6.425,1.853,93,13.1,74.381,17.11938773,0.64,1.759537174,711.5831798,76.68569263,22000,21850,0.681818182,25.94,23.93,0.87,0.11,1.03,5.9,0.620327625,8.756210092,6.567492318,3.07768528,2.691772203,0.825722824
Brazil,BRA,207652865,14.067,8860,,12.07966389,12.49461885,1.350150575,117.5362334,5.6,1.726,96,13.5,75.509,12.65285893,0.95,2.594388285,1484.926638,59.11756425,101.8,98,3.73280943,21.2,19.99,0.45,0.18,0.59,8,0.991171197,9.089302044,7.303120648,2.491523368,2.525298059,1.932047989
Panama,PAN,4034119,33.105,11990,37.9,45.90366767,41.38008269,0,127.4570235,5.559,2.514,90,14.1,78.001,14.12599776,0.61,2.254311363,1079.130151,80.71266196,16982,11544,32.02214109,15.11,14.36,0.57,0.06,0.12,21.7,0.85624827,9.391828248,6.983910579,3.82654502,3.722799671,5.658810926
Uruguay,URY,3444006,4.54,15200,29.7,19.88268277,21.42754346,1.873463798,148.5693114,2.83,1.995,95,7.9,77.493,11.52339849,1.36,1.973150822,1378.273607,46.84197349,10265.6,18222.6,-77.51129988,11.52,4.78,4.68,2,0.06,31.8,0.729069586,9.629050707,7.228586986,2.989849141,3.064677172,-8.804050197
United States,USA,323405935,18.212,56800,30.6,14.68929997,11.89062242,3.222138841,122.8758723,2.721,1.8,92,5.6,78.6902439,9.196934123,0.65,16.49060839,6955.524017,82.93475023,2710,3215.4,-18.64944649,10.54,3.6,6.3,0.18,0.08,101.05,2.808836776,10.9472916,8.847291445,2.687119335,2.475750058,-4.318500491
Montenegro,MNE,622303,35.777,7120,,62.92330157,40.46093611,1.411279207,165.5619099,3.046,1.667,47,3.5,77.116,20.35568996,1.02,3.55607179,1538.2641,64.66971526,3.5,3.5,0,8.91,2.42,6.49,,,23.1,1.29638929,8.870663004,7.338409852,4.141916549,3.700336968,0
Philippines,PHL,103320222,55.711,3580,,36.93583825,27.96658698,1.22065873,109.3687158,6.689,2.925,80,21.5,69.094,23.2134941,0.58,1.055456846,476.2447245,61.99358096,20,20,0,8.9,8.9,,,,4.7,0.144495803,8.183118079,6.165931849,3.609182306,3.331010475,0
South Africa,ZAF,56015473,34.705,5490,,30.08792761,30.70259741,1.073387991,147.1252059,5.878,2.458,75,34.2,62.774,35.91247747,0.9,8.980119297,2695.733764,86.90921641,,,,8.3,8.2,0.1,0.02,0.11,12.7,2.206087331,8.610683535,7.899425715,3.404124015,3.424347257,
Paraguay,PRY,6725308,40.076,4060,37.3,39.5220409,41.74853296,1.251436261,111.3625428,6.276,2.48,99,17,73.12,23.69305414,0.74,0.870219291,788.6896223,33.70331205,329.5,296.6,9.984825493,7.76,5.78,1.16,0.3,0.52,17,-0.03023316,8.308938253,6.670372862,3.676858514,3.731664312,3.159877449
Mexico,MEX,127540423,20.483,9010,34.8,39.10080875,37.12241336,0.559230201,87.6018727,6.768,2.184,96,12.6,77.118,18.82910389,0.72,3.866241113,1513.259208,90.19822855,134244,124890,6.96790918,7.64,6.34,0.44,0.4,0.46,15,1.377818823,9.106090351,7.322021019,3.666143151,3.614220921,2.63967975
Costa Rica,CRI,4857274,22.325,10830,37.3,31.96418647,32.79090175,0,171.5090398,5.63,1.783,93,7.7,79.831,18.53054595,0.79,1.630951062,1031.141495,49.4765614,33462,38058,-13.73498297,7.5,5.92,1.27,0.07,0.24,9.9,0.548671004,9.29007534,6.938421716,3.464616103,3.490151091,-3.706073794
Argentina,ARG,43847430,8.107,11940,30.9,13.53808142,12.58383239,0.813140098,145.3305063,3.051,2.293,90,9.9,76.577,14.14816717,1,4.746797455,2015.18704,88.54251659,1108906,916944,17.31093528,6.36,2.58,1.57,0.05,2.57,10.2,1.578318168,9.387649387,7.608467294,2.60550656,2.532412846,4.16064121
Peru,PER,31773839,21.076,5950,32.7,22.81652992,22.43820761,1.32367625,116.2376413,6.816,2.4,88,11.9,74.983,26.0545956,0.88,1.993485949,767.6895114,79.55568357,121244,121100,0.118768764,5.53,4.22,0.07,0.93,0.31,18.8,0.738830595,8.691146499,6.643385369,3.12748527,3.110765203,0.344628443
Nicaragua,NIC,6149928,40.893,2100,,55.99313895,39.10199158,0.644813984,125.944759,6.981,2.2,99,16.8,75.404,22.70884868,0.75,0.808520856,609.0071212,40.92280087,425020,381464,10.24798833,4.68,3.72,0.34,0.16,0.46,7.7,-0.095937435,7.649692624,6.411829961,4.025229164,3.666173401,3.201247933
Serbia,SRB,7058322,44.332,5300,,57.47522588,50.02326647,1.854184564,130.2350029,,1.46,82,5.1,75.23902439,18.84678891,1.21,5.282521917,1859.428888,83.87126164,3284,4732,-44.09257004,3.49,0.61,2.49,0.14,0.29,37.82,1.683157022,8.5754621,7.52802467,4.051354001,3.912488227,-6.640223644
Finland,FIN,5495303,15.642,45040,,36.77475866,36.03277519,1.431133645,133.8528678,2.41,1.65,94,1.9,81.7804878,6.234267477,1.34,8.660721243,6213.357766,42.10134646,,,,3.25,0.32,2.94,0.02,0.02,27.5,2.170278235,10.71530626,8.734456732,3.604811704,3.584428946,
Barbados,BRB,284996,68.585,15210,,46.21388591,36.40608958,,116.5658465,3.807,1.797,92,11.4,75.906,18.41481258,,4.490177673,,,11682,12502,-7.019346002,3.12,3.12,,,,7.8,1.523918732,9.629708385,,3.833280314,3.594736057,-2.649404839
Switzerland,CHE,8373338,26.01,82080,,54.58890138,65.81131267,0.683786261,133.8068226,2.5,1.54,94,3.6,82.89756098,10.51208667,1.46,4.311562994,3059.936749,48.73699891,300296.5,193843.5,35.44929761,3.01,0.21,2.74,0.04,0.09,24.45,1.484229047,11.31544966,8.026149524,3.999830591,4.186791749,5.953931274
France,FRA,66859768,20.25,38780,,30.97343227,30.15546306,2.327323645,104.4040167,2.8,1.96,90,3.2,82.27317073,11.8693378,1.2,4.573182147,3658.865709,46.20891197,1653.1,1727.3,-4.488536689,2.83,0.21,2.16,0.04,0.41,31.2,1.541840242,10.56565993,8.204908463,3.433129813,3.406366103,-2.118616692
Croatia,HRV,4174349,40.716,12290,,46.19443759,49.01296772,1.367770673,104.7725932,2.062,1.4,90,4,78.02195122,19.81560787,1.17,3.973804906,1897.840665,70.70366234,2526,2714,-7.442596991,2.68,0.4,2.37,0.05,0.02,21.7,1.404577429,9.416541203,7.548472027,3.832859392,3.89208491,-2.728112349
Estonia,EST,1315790,32.532,17830,,75.12148794,78.98136172,2.132874447,144.6098951,1.87,1.58,93,2.3,77.73658537,5.928305245,1.14,14.84881917,4592.616457,14.49029111,24888,27258,-9.522661524,2.67,0.15,2.11,0.15,0.3,9.2,2.704632312,9.788637711,8.432205175,4.319106642,4.369211897,-3.085880996
Slovenia,SVN,2065042,50.373,21700,,68.49812477,77.65409474,1.00491008,114.8178753,2.287,1.57,92,1.8,80.77560976,17.82350883,1.21,6.213686845,3236.236045,59.66323665,406.7,406.7,0,2.64,0.2,2.34,0.05,0.05,13.5,1.842719792,9.98506754,8.082166219,4.226806369,4.352264281,0
Austria,AUT,8736668,33.968,45850,,48.90517868,52.26183404,0.73864216,163.7944858,2.66,1.49,95,2.9,80.8902439,14.96518831,1.15,6.86986793,3763.327903,64.89638632,689984,661316,4.154878954,2.63,0.1,2.43,0.01,0.04,30.4,1.941596276,10.73313048,8.233058925,3.889883294,3.956266354,2.038352019
Israel,ISR,8546000,7.795,36250,,28.17868489,30.26728937,4.654134045,129.0310295,3.802,3.11,97,2.9,82.40731707,18.6846113,,7.863181348,2762.505934,96.43468077,71200,64000,10.11235955,2.09,1.04,0.67,0.05,0.26,7.3,2.074828587,10.49819466,7.923893494,3.338565837,3.41006757,3.17999364
Czech Republic,CZE,10566332,27.02,17630,,72.05765895,79.54110835,1.001060077,117.6619297,2.02,1.57,98,2.5,78.33170732,19.17869055,1.11,9.165978376,3915.113582,74.69428274,3480846,3471156,0.278380601,2.01,0.15,1.66,0.09,0.13,16.3,2.226349453,9.777357275,8.27259962,4.277466617,4.376273974,0.527617855
Georgia,GEO,3719300,46.174,3830,28.1,59.32535774,43.60424333,2.437635218,140.9459916,2.854,1.996,93,9.5,73.261,20.73469811,0.74,2.411541991,1177.870405,72.20953534,489.3,436,10.89311261,1.98,0.49,0.09,1,0.4,7.3,0.920896904,8.250620082,7.071463346,4.083036832,3.77515447,3.300471574
Canada,CAN,36264604,17.994,43880,,33.38422977,30.96787727,1.181229083,84.74001333,2.749,1.6,90,4.3,82.3005122,7.525224482,0.73,15.11715878,7876.094108,73.39591223,79772,86136,-7.977736549,1.97,0.38,1.52,0.05,0.02,30.8,2.722423658,10.68921391,8.971587388,3.508083626,3.43295045,-2.824488723
Turkey,TUR,79512426,26.113,11230,32.1,24.85056382,21.96508274,2.067542609,94.40247616,5.933,2.053,98,10.9,75.755,37.25391764,1.23,4.491479026,1577.827978,89.57631444,90,90,0,1.95,1.03,0.81,0.11,0.01,,1.5242022,9.326344048,7.363804483,3.212880441,3.089454044,0
Chile,CHL,17909754,10.303,13430,,27.32914681,28.18355638,1.918483301,130.1112399,4.632,1.774,93,7.2,79.522,21.9671149,0.65,4.687376624,2049.688829,73.41700458,25464.3,27450.1,-7.798368697,1.95,1.02,0.81,0.08,0.04,10.7,1.565982584,9.50524629,7.62544327,3.307953781,3.338738701,-2.792555943
Cyprus,CYP,1170125,33.16,24430,,65.48676938,64.71011192,1.572893282,133.4172747,3.01,1.343,90,2.1,80.508,17.86639632,1.23,5.260352041,1712.124092,92.90621503,234360,190360,18.7745349,1.87,1.05,0.58,0.12,0.12,36.4,1.679029652,10.10356716,7.445490038,4.181848128,4.169917479,4.332959139
Solomon Islands,SLB,599419,77.221,1880,,,,,69.49596192,6.47,3.85,99,21.8,70.726,8.515828391,,0.350449345,,,30396,29804,1.947624687,1.83,0.26,0.94,0.39,0.24,8.3,-0.797509649,7.539027056,,,,1.395573247
Belgium,BEL,11331422,2.103,42640,,81.60692689,82.93777574,0.922925653,110.4983466,2.52,1.7,96,3.1,80.99268293,16.04343237,1.32,8.328159898,4708.221218,72.44669039,28484,31270,-9.780929645,1.82,0.33,1.33,0.02,0.14,17.2,2.131578468,10.66054806,8.457065455,4.401914147,4.418090637,-3.127447784
Norway,NOR,5234519,19.266,82010,,33.27319065,34.13664024,1.61682652,109.037158,2.9,1.72,96,2.1,82.5097561,7.874067599,1.63,9.270945132,5595.654625,57.97499118,44502,36360,18.29580693,1.75,0.1,1.63,0.02,0,31.3,2.237613959,11.31459647,8.629745616,3.504751987,3.530371301,4.277359808
Bulgaria,BGR,7127822,25.734,7580,,59.66520734,63.97871452,1.419315223,125.8343483,2.03,1.53,92,6.5,74.61463415,25.64668767,1.09,5.871615869,2477.655401,71.04263173,38008,38672,-1.747000631,1.71,0.34,0.97,0.23,0.1,6.2,1.787017556,8.933268479,7.815067989,4.088749059,4.158550442,-1.321741515
"Macedonia, FYR",MKD,2081206,42.796,4990,,64.71035147,49.97269908,0.944628399,98.52431715,3.502,1.533,82,10.7,75.703,31.92141254,0.88,3.614938183,1262.556589,79.28157364,32002,33556,-4.855946503,1.69,0.91,0.63,0.15,0,,1.312362038,8.515191189,7.140893983,4.169921181,3.911476838,-2.203621225
Portugal,PRT,10325452,35.983,19850,,39.00844371,40.12871297,1.739840848,111.5744425,3.16,1.31,98,2.9,81.12682927,9.491198111,1.3,4.331554028,2034.51263,72.66128799,387.3,403,-4.053705138,1.58,0.42,1.01,0.03,0.12,8.5,1.488750319,9.895959286,7.618011575,3.663778128,3.692092112,-2.013381518
Greece,GRC,10775971,21.671,18870,,31.18113647,30.45873255,2.576474722,112.1177165,2.32,1.33,97,3.1,81.03658537,11.29831318,1.22,6.180337268,2123.897891,86.05811361,3590,2694,24.95821727,1.52,0.53,0.86,0.06,0,22.5,1.837423684,9.845328638,7.661008307,3.439813312,3.416372736,4.99581998
Sweden,SWE,9923085,14.036,54530,,39.43439455,44.27322726,1.055461744,127.5033893,2.37,1.85,97,2.4,82.20487805,5.195282483,1.42,4.478182178,4966.435921,29.73159712,254,270,-6.299212598,1.47,0.19,1.2,0.06,0.01,31.6,1.521302015,10.90650629,8.510457743,3.674638394,3.790380144,-2.509823221
Latvia,LVA,1959537,32.639,14570,,59.14539247,60.04198813,1.475991547,134.4954403,1.76,1.7,93,3.9,74.52926829,14.58800713,1.07,3.498192882,2176.843306,56.71742757,975,975,0,1.43,0.18,0.94,0.04,0.27,19,1.280431742,9.586719899,7.685631082,4.079998692,4.09504412,0
Italy,ITA,60627498,30.884,31700,,26.54950501,29.80153284,1.517296102,152.9988959,2.57,1.35,85,2.8,82.54390244,15.48360452,1.44,5.270866786,2414.484002,78.58642262,21776,19820,8.982365907,1.31,0.35,0.87,0.09,0.02,11.9,1.680989308,10.36407196,7.789240879,3.279011104,3.39455983,2.997059544
