Stream,repetition,StreamID,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,Age_Years,Pfankuch_Index,Pct_Coarse_Woody_Debris,Temp_C,Turbidity,Conductivity
stonefly,1,stonefly1,0,0,0,0,0,0,0,0,0,0,1.8,18,15.25,2.8,174.3,132,53.3
stonefly,2,stonefly2,0,0,0,0,0,0,0,0,0,0,1.5,18,15.25,2.8,174.3,132,53.3
stonefly,3,stonefly3,0,0,0,0,0,0,0,0,0,0,0,18,15.25,2.8,174.3,132,53.3
stonefly,4,stonefly4,0,0,0,0,0,0,0,0,0,0,0,18,15.25,2.8,174.3,132,53.3
stonefly,5,stonefly5,0,0,0,0,0,0,0,0,0,0,0,18,15.25,2.8,174.3,132,53.3
wolf pt,1,wolf pt1,0,0,0,0,0,2.4,0,0,0,0,0,48,6.59,3.4,39.3,101,39.2
wolf pt,2,wolf pt2,0,0,0,0,0,2.6,0,0,0,0,0,48,6.59,3.4,39.3,101,39.2
wolf pt,3,wolf pt3,0,0,0,0,0,2.8,0,0,0,0,0,48,6.59,3.4,39.3,101,39.2
wolf pt,4,wolf pt4,0,0,0,0,0,3.6,0,0,0,0,0,48,6.59,3.4,39.3,101,39.2
wolf pt,5,wolf pt5,0,0,0,0,0,1.9,0,0,0,0,0,48,6.59,3.4,39.3,101,39.2
berg n,1,berg n1,0,0,0,1.5,1.5,0,0,0,0,0,0,147,16.4,3.7,0.65,42,18.7
berg n,2,berg n2,0,0,1.7,1.2,0,0,0,0,1.2,0,0,147,16.4,3.7,0.65,42,18.7
berg n,3,berg n3,0,0,1.9,2.2,1.2,0,0,0,0,0,0,147,16.4,3.7,0.65,42,18.7
berg n,4,berg n4,0,0,0,2.5,0,0,0,0,0,0,0,147,16.4,3.7,0.65,42,18.7
berg n,5,berg n5,0,0,1.8,3.1,0,0,0,0,1.2,0,0,147,16.4,3.7,0.65,42,18.7
tyndall,1,tyndall1,0,0,0,2.4,2.5,1.2,0,0,0,0,1.2,167,22.62,4.7,0.95,170,80.6
tyndall,2,tyndall2,0,0,0,2.1,2.6,0,0,0,0,0,0,167,22.62,4.7,0.95,170,80.6
tyndall,3,tyndall3,0,0,0,1.7,2.8,1.2,0,0,0,0,0,167,22.62,4.7,0.95,170,80.6
tyndall,4,tyndall4,0,0,0,1.8,2.3,0,0,0,0,0,0,167,22.62,4.7,0.95,170,80.6
tyndall,5,tyndall5,0,0,0,2.1,2.2,0,0,0,0,0,0,167,22.62,4.7,0.95,170,80.6
berg s,1,berg s1,0,0,1.7,1.2,1.7,1.5,0,0,0,0,0,167,14.28,6.4,29.8,87,42.5
berg s,2,berg s2,0,0,0,0,1.5,0,0,0,0,0,0,167,14.28,6.4,29.8,87,42.5
berg s,3,berg s3,0,0,0,1.2,1.7,1.2,0,0,0,0,0,167,14.28,6.4,29.8,87,42.5
berg s,4,berg s4,0,0,0,0,1.7,1.2,0,0,0,0,0,167,14.28,6.4,29.8,87,42.5
berg s,5,berg s5,0,0,0,1.5,1.5,1.2,0,0,0,0,0,167,14.28,6.4,29.8,87,42.5
rush pt,1,rush pt1,0,0,1.2,0,1.2,0,0,0,0,0,0,192,34.47,6.2,0.71,170,87.2
rush pt,2,rush pt2,0,0,0,0,0,1.2,0,0,0,0,0,192,34.47,6.2,0.71,170,87.2
rush pt,3,rush pt3,0,0,0,1.5,0,0,0,0,0,0,0,192,34.47,6.2,0.71,170,87.2
rush pt,4,rush pt4,0,0,0,1.2,1.5,1.7,0,0,0,0,0,192,34.47,6.2,0.71,170,87.2
rush pt,5,rush pt5,0,0,0,1.2,0,0,0,0,0,0,0,192,34.47,6.2,0.71,170,87.2
carolus,1,carolus1,1.9,0,0,0,0,0,0,0,0,0,0,1377,22.34,5.7,2.71,118,51.2
carolus,2,carolus2,2.2,0,0,0,0,1.5,1.2,0,0,0,0,1377,22.34,5.7,2.71,118,51.2
carolus,3,carolus3,2.6,1.7,0,0,0,1.8,0,1.2,0,0,0,1377,22.34,5.7,2.71,118,51.2
carolus,4,carolus4,1.5,1.5,0,0,0,1.2,0,0,0,1.2,0,1377,22.34,5.7,2.71,118,51.2
carolus,5,carolus5,1.7,1.2,0,0,0,1.8,0,1.2,0,0,0,1377,22.34,5.7,2.71,118,51.2
