LOCATION,FUNCTION,GROUP,N,AMASS,AAREA,GS,LSLA
1,1,1,25,120.4,10.8,673,2.075546961
1,1,1,39,136,11.1,512,2.08278537
1,1,1,29,110,8.7,462,2.100370545
1,2,2,26.3,124.3,10.2,481,2.089198367
1,2,2,26.7,151.4,12.2,542,2.089905111
1,2,2,23.4,104.5,6.1,249,2.23299611
1,2,2,12.3,31.8,4.4,191,1.894316063
2,1,3,58.2,254,5.9,134,2.62838893
2,1,3,53,432,14.2,227,2.472756449
2,1,3,42,263,11.9,359,2.346352974
2,1,3,14.4,175,13.4,615,2.123851641
2,1,3,44.7,244,7.9,164,2.489958479
2,1,3,35.9,159,15,481,2.026533265
2,1,3,51.6,209,5.8,499,2.552668216
2,1,3,15,122.9,9.8,480,2.108903128
2,1,3,16.6,116,10,478,2.065579715
2,1,3,53.6,255,7.9,208,2.506505032
2,2,4,15.5,72.8,6.6,215,2.042969073
2,2,4,14.5,95,7,250,2.089905111
2,2,4,19,118,9.8,320,2.079181246
2,2,4,23,135,11,440,2.06069784
2,2,4,13.9,70.3,9.3,309,1.879669206
2,2,4,11.9,70.1,6.1,299,2.060320029
2,1,3,11.4,22.8,2.9,144,1.892651034
