PLOTS,WaterCon,BareSand,FallTwig,CoveMoss,CoveHerb,ReflLux
P1,2.3321,0,0,3.0445,4.4543,3.912
P2,3.0493,0,1.7918,1.0986,4.5643,1.6094
P3,2.5572,0,0,2.3979,4.6052,3.6889
P4,2.6741,0,0,2.3979,4.6151,2.9957
P5,3.0155,0,0,0,4.6151,2.3026
p6,3.381,2.3979,3.434,2.3979,3.434,0.6931
P7,3.1781,0,0,0.6931,4.6151,2.3026
P8,2.6247,0,4.2627,1.0986,3.434,0.6931
P9,2.4849,0,0,4.3307,3.2581,3.4012
P10,2.1972,3.9318,0,3.434,3.0445,3.6889
P11,2.2192,0,0,4.1109,3.7136,3.6889
P12,2.2925,0,0,3.8286,4.0254,3.6889
P13,3.5175,1.7918,1.7918,0.6931,4.5109,3.4012
P14,3.0865,0,0,1.7918,4.5643,1.0986
P15,3.2696,0,4.3944,0.6931,3.0445,0.6931
P16,3.0301,0,4.6052,0.6931,0.6931,0
P17,3.3322,0,4.4543,0.6931,3.0445,1.0986
P18,3.1224,0,4.3944,0,3.0445,1.0986
P19,2.9232,0,4.5109,1.6094,1.6094,0
P20,3.1091,0,4.5951,0.6931,0.6931,0
P21,2.9755,0,4.5643,0.6931,1.7918,0
P22,1.2528,3.2581,0,4.3307,0.6931,3.912
P23,1.1939,3.0445,0,4.0254,3.2581,4.0943
P24,1.6487,3.2581,0,4.0254,3.0445,4.0073
P25,1.8245,3.5835,0,1.0986,4.1109,2.3026
P26,0.9933,4.5109,0,1.7918,1.7918,4.382
P27,0.9555,2.3979,0,3.8286,3.434,3.6889
P28,0.9555,3.434,0,3.7136,3.434,3.6889
